"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"27GAQMU5","manuscript","1992","Antirassistisches Aktionsbündnis","Stoppt die Pogrome!","","","","","","","1992-08","2016-09-29 15:33:50","2018-06-21 00:04:53","","","","","","","","","","","","","","","","1","Aufruf","","II-C2-1","","II-C2-1-009","lediglich Digitalisat Provenienz: F4 alte Signatur: II-C2-F4-23","","/home/age/zotero/storage/T6AFDTIF/II-C2-F4-23.tif","","1992-08-29; Aufruf; Lichtenhagen; 1992-08-28; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39PPMQTJ","manuscript","1992","Die Grünen Dortmund","Hoyerswerda, Rostock - Es reicht","","","","","","","1992-08","2016-10-06 15:44:43","2018-06-20 23:06:49","","","","","","","","","","","","","","Dortmund","","1","","","II-C1-2","","II-C1-2-005","nur Digitalisat Provenienz: F4, 40.","","/home/age/zotero/storage/9TTBW2WK/II-C1-F4-40.tif","","1992-08-29; Aufruf; Presseerklärung; Petrikirchplatz; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZJVE97P","newspaperArticle","1992","Markmeyer, Bettina","Jugendliche erschlagen Flüchtling","die tageszeitung","","","","","","1992-03-18","2016-01-30 13:32:53","2018-06-20 23:47:18","","","","","","","","","","","","","","Berlin","","2","","","II-C3-1-4","","II-C3-1-4-920318b","liegt händisch vor Provenienz: F1.1992, 1.","","/home/age/zotero/storage/XTHWEM9R/F1-1992-01b.jpg","","1992; Mecklenburg-Vorpommern; Rechte Gewalt; Überfall; Berlin; Saal; Bericht; Kriminalpolizei (Kripo); Polizeisprecher; Ribnitz-Damgarten; Teichmann, Bernd; Rostock; Asylbewerber*innen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWUEA982","audioRecording","2007","Radio: corax, Halle (AutorInnen: radio island)","15 Jahre danach - Neues aus Lichtenhagen.","","","","","https://www.freie-radios.net/17298","Mit erkennbarer Gewaltbereitschaft sind Polizeikräfte am (gestrigen) Montag in Rostock Protesten gegen den bevorstehenden G8-Gipfel begegnet. Eine noch unbekannte Anzahl von Demonstranten wurden dabei verletzt, eine Demonstration aufgelöst. So kam es auf einem S-Bahnhof zu einem offenbar völlig unmotivierten bewaffneten Übergriff auf Globalisierungskritiker.  Während des Tages hatten linke Gipfelgegner ein Ausländeramt der Stadt blockiert, am Nachmittag im Stadtteil Lichtenhagen demonstriert. apropos lichtenhagen: wie sieht´s da eigentlich aus 15 Jahre nach den Pogromen. Wir waren unterwegs.","2007-06-05","2016-02-16 14:59:11","2019-01-16 10:25:20","","","","","","","","","","","","G8 - Radioforum - Raise-your-voice","","","de-DE","6","","","","","M-1","CC BY-NC-SA 2.0 DE","","/home/age/zotero/storage/7IJD6IRD/20070605-15jahredan-17298.mp3","","","","","","","Radio: corax, Halle (AutorInnen: radio island)","","","","","","","","","","","","","","","","","00:06:46","","mp3, 128 kbit/s, Stereo (44100 kHz)","","","","","","","","","","","","","","","","","","","","","","",""
"K4HH94CB","audioRecording","2012","Antifa AK Köln","Podiumsdiskussion: „Damals wie Heute. Deutsche Zustände aufmischen!“","","","","","","Einleitung des Antifa AK Hallo und herzlich willkommen zur Podiumsdiskussion mit dem Titel „Damals wie Heute. Deutsche Zustände aufmischen!“. Diese Veranstaltung ist organisiert vom Antifa AK Köln und ist Teil der lokalen Kampagne „Erinnerst du dich noch an Rostock-Lichtenhagen?“, mit der wir zur bundesweiten Demonstration am 25.08.2012 anlässlich des 20. Jahrestag des Pogroms von Rostock-Lichtenhagen mobilisieren. Mein Name ist … vom Antifa AK Köln, ich werde diese Diskussion heute moderieren. Thema des heutigen Abends sind die Pogrome des frisch wiedervereinten Deutschlands. Vor fast genau 20 Jahren – im August 1992 – kommt es zu den größten rassistischen Pogromen der deutschen Nachkriegsgeschichte. Rostock-Lichtenhagen – dieser Name etabliert sich als Symbol für das Wüten einer deutschnationalen Allianz aus aufrechten BürgerInnen und organisierten Nazis. Auch dort greift dieser rassistische Mob über Tage hinweg die „Zentrale Aufnahmestelle für Asylbewerber“ sowie ein Wohnheim für ehemalige vietnamesische VertragsarbeiterInnen an. Tausende Umstehende klatschen bei Bier und Wurst Beifall, als die Häuser in Brand gesteckt werden – die Polizei schaut zu! Während Politik und Medien gegen AusländerInnen hetzen, kommt es überall in der frisch vereinten BRD zu einer Welle rassistischer Anschläge. Zeitsprung. Seit Mitte der Nuller Jahre inszeniert sich Deutschland als von den „dunklen Seiten der Geschichte“ entbehrte Nation und feiert sich dafür selbst. Neben dem „Partynationalismus“ zelebriert die deutsche Nation die politischen Jubiläen der Berliner Republik und gratuliert sich zu 20 Jahren Mauerfall, 20 Jahren Einheit, 20 Jahren „demokratische Revolution“. In dieser nationalen Erzählung versteht sich die Bundesrepublik als „geläutertes Deutschland” und Teil der kapitalistischen Normalität. Was jetzt, wo sich neben den ideologisch wohl verwerteten nun ein unangenehmes, „trauriges Jubiläum“ einreiht? Schweigen? Keine Spur. Politik und Presse gehen diesen Tag selbstbewusst an und veranstalten selber Gedenktermine. Die BRD wird unter Leitung des Antikommunisten und jetzigen Bundespräsidenten Joachim Gauck – ausgerechnet gebürtiger Rostocker – ihrer neuen deutschen Leitideologie gemäß verbreiten, dass „externe Chaoten“ für die „Gräueltaten“ von Rostock und anderswo verantwortlich seien. Heute sei man von solchen Tendenzen befreit. Letztendlich werden sie darauf hinarbeiten, am Ende nicht trotz, sondern gerade wegen Rostock-Lichtenhagen stolz auf Deutschland zu sein. Wir wollen uns unter der Fragestellung „Warum nach Rostock-Lichtenhagen fahren“ an diesem Abend mit der Situation von vor 20 Jahren beschäftigen, aber auch den Bogen zu heute schlagen. Dazu haben wir folgende ReferentInnen eingeladen. Osaren xxx ist Vertreter der Gruppe „The Voice – Refugee Forum Germany“. The Voice ist eine Flüchtlingsselbstorganisation und wurde im Jahre 1994 gegründet, um eine Organisationsplattform gegen Residenzplficht, Abschiebung, Lagerterror und institutionellem Rassismus auf täglicher Basis zu bieten. Momentan ist „The Voice“ am bundesweiten Netzwerk der Flüchtlingscamps sowie an der Organisation des BREAK THE ISOLATION-Camps in Erfurt Ende August beteiligt. Tom ist Mitglied der Gruppe Theorie.Organisation.Praxis aus Berlin, welche im kommunistischen …umsGanze-Bündnis organisiert ist. Das Bündnis …umsGanze war einer der Mitinitiatoren des europaweiten Aktionstages gegen Kapitalismus und Krise „M31“ und mobilisiert jetzt regional – so auch in Berlin – und überregional zur Demonstration nach Rostock-Lichtenhagen. Tim sitzt hier heute für „Avanti – Projekt undogmatischer Linke“, organisiert im Bündnis „Interventionistische Linke“, kurz IL. Die IL organisierte kürzlich den europaweiten Aktionstage „Blockupy“ in Frankfurt am Main und ist jetzt ebenfalls an der Mobilisierung zur Demonstration nach Rostock-Lichtenhagen beteiligt.","2012-08-18","2016-02-16 10:49:44","2019-01-16 10:25:30","","","","","","","","","","","","","","Naturfreundehaus Köln-Kalk, Kapellenstraße 9a, 51103 Köln","de-DE","6","","","","","M-1","","","/home/age/zotero/storage/V775S9ZA/Rostock-Plakat.jpg; /home/age/zotero/storage/AJBCN4ZJ/rostock-podiumsdiskussion.mp3","","20. Jahrestag; Aktivismus; Antifa; Aufarbeitung; Demonstration; Podiumsdiskussion","","","","","Antifa AK Köln","","","","","","","","","","","","","","","","","01:40:14","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEJF98N3","audioRecording","2012","TOP B3rlin","Podiumsdiskussion: ""20 Jahre Pogrom in Rostock-Lichtenhagen und deutsche Zustände heute""","","","","","","Rostock-Lichtenhagen 1992: Trauriger Höhepunkt und gleichzeitig Sinnbild einer Gesellschaft im aggressiven Taumel nationaler Kollektivbildung. Organisierte Neonazis und Anwohner_innen greifen die Zentrale Erstaufnahmestelle für Asylbewerber_innen und ein Wohnheim fuer ehemalige DDR-Vertragsarbeiter_innen aus Vietnam an. Unter dem Applaus tausender Zuschauer_innen und angefeuert durch ein von Politik und Medien konstruiertes völkisch-rassistisches Untergangsszenario. Mit der faktischen Abschaffung des Grundrechtes auf Asyl feierte dieses Bündnis von Biedermännern und Brandstiftern seinen Erfolg und legte den Grundstein für stetig restriktivere Regelungen. In der herrschenden gesellschaftlichen Wahrnehmung sind diese Ereignisse kaum präsent und wenn doch, werden sie als tragische historische Ausfälle betrachtet. Diese Marginalisierung wird auch und überraschender Weise ermöglicht durch ein mehrheitsgesellschaftliches Selbstverständnis als liberal und weltoffenen, das im neuen Staatsbürgerschaftsrecht und den Bundesprogrammen gegen Rechtsextremismus seinen institutionellen Ausdruck gefunden zu haben scheint. Dieses mehrheitsgesellschaftliche Selbstbild ermöglicht es auf perfide Art und Weise, den institutionellen und gesellschaftlich verbreiteten Rassismus auszublenden und in vermeintlich unbedarfter Weise von ""Integration als Bringschuld"" zu reden. Und auch obwohl jeder weiss, dass sich die Flüchtlingspolitik stetig barbarisiert und eine faschistische Terrorzelle unerkannt jahrelang durch die Lande ziehen konnte, hat dies nicht zu einer breiten Diskussion über gesellschaftlichen Rassismus geführt. Mit dieser Veranstaltung wollen wir einen Beitrag dazu leisten, dass sich das ändert. Vor dem Hintergrund unterschiedlicher praktischer Erfahrungen und theoretischer Zugänge wollen wir zu einer Einschätzung des gegenwärtigen Rassismus kommen und damit Perspektiven für eine antirassistische und antifaschistische Praxis geben. mit Garip Bali (allmende e.V.) und Kien Nghi Ha (korientation) und TOP B3rlin.","2012-08-22","2016-02-16 14:19:02","2019-01-16 10:25:09","","","","","","","","","","","","","",":// about blank, Markgrafendamm 24,10245 Berlin","de-DE","6","","","","","M-1","","","/home/age/zotero/storage/A7FIS8QT/20-jahre-pogrom-in-rostock-lichtenhagen-und-deutsche-zustaende-heute.mp3","","","","","","","TOP B3rlin","","","","","","","","","","","","","","","","","02:05:42","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJKRNI63","audioRecording","2002","Radio RUM-90,1, Marburg (Autor: Timo)","Radiointerview: Rostock - 10 Jahre danach","","","","","https://www.freie-radios.net/1649","Interview mit Jochen Schmidt, dem Autor des Buches ""Politische Bandstiftung - Warum 1992 in Rostock ein Ausländerwohnheim in Flammen aufging""  Der Autor war selbst als Kennzeichen-D-Mitarbeiter damals im angegriffenen Haus eingeschloßen.  Er berichtet über Nachforschungen und Ungereimtheiten, über eigene Eindrücke und die Rolle der Medien in Rostock.","2002-08-15","2016-02-16 14:37:30","2019-01-16 10:25:23","","","","","","","","","","","","","","","de-DE","6","","","","","M-1","CC BY-NC-SA 2.0 DE","","/home/age/zotero/storage/IFEN2NPF/20020815-rostock10-01649.mp3","","","","","","","Radio RUM-90,1, Marburg (Autor: Timo)","","","","","","","","","","","","","","","","","00:32:31","","mp3, 48 kbit/s, Mono (44100 kHz)","","","","","","","","","","","","","","","","","","","","","","",""
"XMWNKF34","audioRecording","2007","Radio: RadioT, Chemnitz (AutorInnen: Radioforum Dörte)","Radiointerview: G8-Bericht, Interviews zur Gedenkdemo in Lichtenhagen","","","","","https://www.freie-radios.net/17269","Drei kleine Interviews mit Teilnehmern der Demo die im Rahmen des Aktionstages Flucht und Vertreibung von der Rostocker Ausländerbehörde zum Sonnenblumenhaus im Stadtteil Lichtenhagen führte. In Lichtenhagen fanden vor 15 Jahren mehrtägige, rechtsextreme Progrome gegen die Zentrale Aufnahmestelle und ein Wohnheim für vietnamesische Vertragsarbeiter statt. Ca. 1000 Rostocker Bürger applaudierten solange, bis die Stimmung umkippte (weil ein ZDF-Kamerateam beim Brandanschlag im Wohnheim der Vietnamesen war und über die Panik der verbliebenen 80 Heimbewohner im brennenden Haus live berichtete). Jörg","2007-06-04","2016-02-16 14:53:15","2019-01-16 10:25:13","","","","","","","","","","","","","","","de-DE","6","","","","","M-1","CC BY-NC-SA 2.0 DE","","","","","","","","","Radio: RadioT, Chemnitz (AutorInnen: Radioforum Dörte)","","","","","","","","","","","","","","","","","00:06:43","","mp3, 256 kbit/s, Mono (44100 kHz)","","","","","","","","","","","","","","","","","","","","","","",""
"3CSDTHWA","book","1990","ISG Sozialforschung und Gesellschaftspolitik GmbH; Breuer, Dr. Wilhelm","Ausländerfeindlichkeit in der ehemaligen DDR. Studie zu Ursachen, Umfang und Auswirkungen von Ausländerfeindlichkeit im Gebiet der ehemaligen DDR und zu den Möglichkeiten ihrer Überwindung. Eine Untersuchung der ISG im Auftrag des Bundesministers für Arbeit und Sozialordnung","","","","","","","1990-12-31","2016-07-08 11:02:46","2018-04-24 05:22:04","","","110","","","","","","","","","","","Köln","","2","","","II-C4","","II-C4-F1-34","F1-1992-hand","","","","DDR; Köln; Ausländer; 1990-12-31; 1Hand; Dr. Wilhelm Breuer; Studie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ITI3M7S","manuscript","1992","Antirassistisches Aktionsbündnis","Parem com os pogromes. Grupos anti-fascistas independente covocam uma manifestacao de ambito nacional contra o racismo em Rostock-Lichtenhagen dia 29.08 às 13 horas.","","","","","","","1992-08","2016-08-01 09:52:56","2018-06-21 00:03:52","","","","","","","","","","","","","","o.A.","","1","Aufruf","","II-C2-1","","II-C2-1-008","lediglich Digitalisat Provenienz: A4/Rostock 1992 II alte Signatur: II-C2-F4-7","","/home/age/zotero/storage/4R7M7ZFJ/II-C2-F4-7.tif","","1992-08-29; Antirassistische Initiative e.V.; Aufruf; Flugblatt; Lichtenhagen; portugiesisch; Kupfer, Lothar; Rostock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
