"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MUBEVIER","book","1992","","SchlagZeilen: Rostock: Rassismus in den Medien","","978-3-927388-32-1","","","","","1992","2017-03-28 15:02:58","2017-03-28 15:02:58","","","104","","","","","SchlagZeilen","DISS-Skripten","5","","","DISS","Duisburg","ger","","","","","","(G)/A-I/1 vorl.","Neu","","","","","","Althoetmar, Katrin; Jäger, Siegfried; Duisburger Institut für Sprach- und Sozialforschung","","","","","","","","","","","","","","","","","","","1.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHXMRCPU","book","2013","","Antiziganistische Zustände II: Kritische Positionen gegen gewaltvolle Verhältnisse","","978-3-89771-518-9","","","","In den letzten Jahren haben sich Medien, Wissenschaft und Politik vermehrt mit dem Thema Antiziganismus beschäftigt. Die Auseinandersetzung bleibt jedoch häufig oberflächlich und ist nicht selten durch stereotype Wahrnehmungen geprägt. Gerade Letzteres führt immer wieder dazu, dass die Verantwortung für die in vielen Fällen äußerst schwierige Lage der von Antiziganismus betroffenen Menschen bei diesen selbst gesucht wird, statt bei der Mehrheitsgesellschaft, von der Diskriminierung und Verfolgung ausgehen. Demgegenüber greifen die in diesem Band versammelten Beiträge bisherige Debatten ausgehend von einer Kritik an der Mehrheitsgesellschaft auf und leisten dabei eine Verknüpfung von theoretischer Begriffsbildung, historischer Darstellung und empirischer Analyse. Die inhaltliche Breite der Beiträge soll dabei als Stärke verstanden werden, die Reflexionen des Antiziganismus aus verschiedenen Blickwinkeln ermöglicht und Ansatzpunkte für Interventionen aufzeigt.","2013","2017-03-28 15:03:04","2017-03-28 15:03:04","","","358","","","","","","Antiziganistische Zustände","2","","","Unrast-Verl","Münster","ger","","","","","","(G)/A-I/1 vorl.","Neu","","","","","Aufsatzsammlung; Antiziganismus","Bartels, Alexandra; Borcke, Tobias; End, Markus; Friedrich, Anna","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDKUC3P4","book","1990","Behrend, Manfred; Prenzel, Monika","Die Republikaner: neue Rechte oder 1000 Jahre und kein Ende","","978-3-332-00368-0","","","","""Die Republikaner — konservative Demokraten, rechte Spinner oder eine Gefahr für die bürgerliche Demokratie? Manfred Behrend und Monika Prenzel, zwei (Ost-) Berliner Experten für die politische Rechte, befassen sich mit einer Partei, vor der trotz Wahlniederlagen in Deutschland lebende Ausländer, Juden, Linke Magendrücken oder sogar Angst haben. Was wollen die REPs nun wirklich? Welche Aussagen enthalten ihre Programme? Wie sieht ihr ideologischer Hintergrund aus? Wer waren und sind die wichtigsten handelnden Personen? Warum haben sie in der Bundesrepublik und in der DDR soviele Anhänger?""","1990","2017-03-28 15:03:11","2017-03-28 15:03:11","","","123","","","","","Die Republikaner","Klartext","","","","Urania-Verlag","Leipzig","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Schönhuber, Franz; Fascism; Germany; Nationalism; Republikaner (Political party)","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E23XPH8U","book","1986","","Nazis, Skins und alte Kameraden","","978-3-88142-359-5","","","","""Nazis, Skins und alte Kameraden"" - ein packender Bericht aus dem Inneren der Nazi-Mafia und zugleich die aktuellste Darstellung neonazistischer Aktivitäten in der BRD. Die Autoren spüren die neuen Nazis und ihre Hintermänner in ihren Verstecken auf und bringen sie zum Reden.","1986","2017-03-28 15:03:17","2017-03-28 15:03:17","","","221","","","","","","","","","","Weltkreis","Dortmund","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Politics and government; Germany (West); 1982-1990; Fascism","Biemann, Georg; Krischka, Joachim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ7N96MB","book","","","Dokumentation zu den Ereignissen in Rostock: Die Schüler Goebbels': Zusammenwirken von Nazis, Bonner Politikern und bürgerlicher Presse; Proteste und Gegenwehr gegen Nazis","","","","","","","","2017-03-28 15:03:22","2017-03-28 15:03:22","","","","","","","","","","","","","","Frankfurt am Main","","","","","","","(G)/A-I/1 vorl.","F1","","","","","","Buchladenkollektiv Georgi Dimitroff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8X77UQP6","book","1994","Claussen, Detlev","Was heisst Rassismus?","","978-3-534-12033-8","","","","","1994","2017-03-28 15:03:27","2017-03-28 15:03:27","","","233","","","","","","","","","","Wiss. Buchges","Darmstadt","","","","","","","(G)/A-I/1 vorl.","Neu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAEM74CE","book","1994","Elsner, Eva-Maria; Elsner, Lothar","Zwischen Nationalismus und Internationalismus: über Ausländer und Ausländerpolitik in der DDR, 1949-1990: Darstellung und Dokumente","","978-3-929544-17-6","","","","","1994","2017-03-28 15:03:33","2017-03-28 15:03:33","","","210","","","","","Zwischen Nationalismus und Internationalismus","","","","","Norddeutscher Hochschulschriften","Rostock","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Foreign workers; Germany (East); Ethnic relations; Immigrants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCFBD9GT","book","2009","","Antiziganistische Zustände: Zur Kritik eines allgegenwärtigen Ressentiments","","978-3-89771-489-2","","","","Antiziganismus ist ein weit verbreitetes und virulentes Phänomen, das in den westlichen Gesellschaften tief verankert ist. In nahezu allen Staaten Europas werden Menschen als 'Zigeuner' diskriminiert und teilweise verfolgt. ""Die verschiedenen Aufsätze machen sehr deutlich, wie stark die antiziganistischen Zuschreibungen und Stereotype auf Projektionen und Zuschreibungen der Mehrheitsgesellschaft an die Minderheit beruhen."" Empfehlung Fachbuch, lernen-aus-der-geschichte.de Gleichzeitig mangelt es an politischen und theoretischen Analysen. Das gilt auch für eine linke Kritik, die oft nicht über moralische Empörung hinaus geht. Dieser Sammelband soll zu einer breiteren und differenzierteren Diskussion und Kritik des Antiziganismus beitragen. Neben unterschiedlichen gesellschaftstheoretischen Ansätzen werden internationale Fallstudien zu Italien, Kosovo und Rumänien ebenso bearbeitet wie der Bereich medialer Repräsentationen und die Verwerfungen im bundesdeutschen Gedenken an den nationalsozialistischen Massenmord. Eine Kritik der Mehrheitsgesellschaft tritt hierbei an die Stelle eines nicht selten antiziganistischen Schreibens über Roma.","2009","2017-03-28 15:03:38","2017-03-28 15:03:38","","","284","","","","","Antiziganistische Zustände","","","","","Unrast","Münster","","","","","","","(G)/A-I/1 vorl.","Neu","","","","","Europe; Germany; Social conditions; History; Romanies; Racism; Ethnic relations","End, Markus; Herold, Kathrin; Robel, Yvonne","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGU6T5AD","book","1990","Engelstädter, Heinz; Seiffert, Otto","Die schleichende Gefahr: Europa, die Deutschen, Nationalismus und Neofaschismus","","978-3-327-00901-7","","","","","1990","2017-03-28 15:03:43","2017-03-28 15:03:43","","","80","","","","","Die schleichende Gefahr","Europa aktuell","","","","Brandenburgisches Verlagshaus","Berlin","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Politics and government; 1990-; Fascism; 20th century; Germany; History","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QK6DBB6U","book","1992","Farin, Klaus; Seidel-Pielen, Eberhard","Rechtsruck: Rassismus im neuen Deutschland","","978-3-88022-065-2","","","","Eberhard Seidel-Pielen und Klaus Farin untersuchen die Vorgeschichte des Rechtsrucks. Sie haben die schwarzbraune Szene in Ost und West durchleuchtet, um die neudeutschen Gewaltverhältnisse sichtbar zu machen.","1992","2017-03-28 15:04:44","2017-03-28 15:04:44","","","159","","","","","Rechtsruck","Rotbuch","55","","","Rotbuch Verlag","Berlin","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Politics and government; 1990-; Germany; Racism","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFW5INNV","book","1993","Funke, Hajo","Brandstifter: Deutschland zwischen Demokratie und völkischem Nationalismus","","978-3-88977-324-1","","","","","1993","2017-03-28 15:04:47","2017-03-28 15:04:47","","","208","","","","","Brandstifter","","","","","Lamuv","Göttingen","","","","","","","(G)/A-I/1 vorl.","Neu","","","","","Politics and government; 1990-; Right and left (Political science); 20th century; Germany; Nationalism; History; Democracy; Conservatism","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGT4H7GR","book","2001","Herbert, Ulrich","Geschichte der Ausländerpolitik in Deutschland: Saisonarbeiter, Zwangsarbeiter, Gastarbeiter, Flüchtlinge","","978-3-406-47477-4","","","","Saisonarbeiter, Fremdarbeiter, Gastarbeiter, Flüchtlinge - jeder dieser Begriffe markiert eine Etappe in der Geschichte der deutschen Ausländerpolitik. Ausländer waren niemals nur willkommene Arbeitskräfte. Stets waren sie auch Objekte wirtschafts- und bevölkerungspolitischer Kalkulationen sowie Zielscheibe völkischer und rassistischer Diffamierungen. Erstmals zeichnet Ulrich Herbert in dieser Darstellung vom Kaiserreich bis zur Ära Kohl die Geschichte einer Politik nach, deren Ambivalenzen bis heute wirksam sind. Sein Buch ist eine wichtige Orientierungshilfe für alle, die sich mit der Frage auseinandersetzen, wie eine zeitgemäße Ausländerpolitik gestaltet werden kann.","2001","2017-03-28 15:04:51","2017-03-28 15:04:51","","","442","","","","","Geschichte der Ausländerpolitik in Deutschland","","","","","Beck","München","","","","","","","(G)/A-I/1 vorl.","Neu","","","","","Forced labor; Seasonal labor; Foreign workers; Germany; History; Labor policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIFSHXHS","book","1990","Hirsch, Kurt; Heim, Peter B.","Rechts, REPs, rechts: aktuelles Handbuch zur rechtsextremen Szene","","978-3-88520-345-2","","","","Kurt Hirschs Handbuch ist eine Dokumentation der restaurativen und rechtsextremen Entwicklungen und Ereignisse im Jahr 1989.","1990","2017-03-28 15:04:54","2017-03-28 15:04:54","","","103","","","","","Rechts, REPs, rechts","","","","","Elefanten Press","Berlin","","","","","","","(G)/A-I/1 vorl.","F1","","","","","Sources; Fascism; Germany; History; Republikaner (Political party); History Sources; Deutsche Volksunion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAIHMDG9","book","2012","","der rechte rand. Magazin von und für AntifaschistInnen: 20. Jahrestag Pogrom Rostock Lichtenhagen","","ISSN 1619-1404","","","","","2012","2017-03-28 15:04:57","2017-03-28 15:04:57","","","","","137/2012","zwei Duplikate","","der rechte rand","der rechte rand","","","","","","","","","","","","(G)/A-I/1 vorl.","XX","","","","Duplikat","","Verein Bildung & Publizistik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I45ZZFAQ","book","2008","Volker Schlotmann; Mathias Brodkorb","Provokation als Prinzip; Die NPD im Landtag von Mecklenburg-Vorpommern","","","","","","Dieses Buch zieht eine erste Bilanz über die NPD-Landtagsfraktion Mecklenburg-Vorpommern und den Umgang der Demokraten mit dieser Herausforderung. In die Analyse einbezogen werden außerdem die Aktivitäten der NPD-Abgeordneten außerhalb des Parlaments.","2008","2017-03-28 15:05:01","2017-03-28 15:05:01","","","257","","","","","","","","","","","Rostock","","","","","","","(G)/A-I/1 vorl.","F1","","","","","","SPD-Landtagsfraktion Mecklenburg-Vorpommern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
